Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,5,symmetric,0.31,0.440428257
100% Corpus,10,0.91,0.31,0.438670973
100% Corpus,4,0.61,0.91,0.43834041
100% Corpus,7,symmetric,0.91,0.437865751
100% Corpus,7,0.01,symmetric,0.437307318
100% Corpus,5,asymmetric,0.61,0.437083783
100% Corpus,10,0.31,symmetric,0.436753866
100% Corpus,7,0.91,0.61,0.436313921
100% Corpus,6,0.01,symmetric,0.43518945
100% Corpus,3,0.01,0.91,0.435044798
100% Corpus,5,asymmetric,symmetric,0.434331245
100% Corpus,6,0.01,0.61,0.432829089
100% Corpus,8,asymmetric,0.61,0.432090426
100% Corpus,10,0.31,0.91,0.431448252
100% Corpus,8,0.31,0.61,0.430994233
100% Corpus,5,asymmetric,0.31,0.430203151
100% Corpus,4,0.31,0.91,0.429614427
100% Corpus,3,0.31,0.91,0.429016756
100% Corpus,9,0.31,symmetric,0.42827703
100% Corpus,10,0.01,0.61,0.428004375
100% Corpus,8,0.01,0.61,0.427867672
100% Corpus,8,0.61,0.31,0.427424818
100% Corpus,10,symmetric,0.61,0.426984219
100% Corpus,9,0.01,0.61,0.426379717
100% Corpus,5,0.61,0.61,0.426034543
100% Corpus,3,0.01,0.61,0.425850071
100% Corpus,8,0.31,symmetric,0.425617855
100% Corpus,7,0.31,0.31,0.425483105
100% Corpus,3,symmetric,0.91,0.424914778
100% Corpus,3,0.31,0.61,0.423833737
100% Corpus,3,symmetric,0.61,0.423833737
100% Corpus,6,0.01,0.31,0.423236135
100% Corpus,4,asymmetric,symmetric,0.422557183
100% Corpus,4,0.31,0.61,0.422299065
100% Corpus,9,0.61,0.91,0.421509492
100% Corpus,6,0.01,0.91,0.42066057
100% Corpus,10,0.91,0.61,0.420380365
100% Corpus,3,0.61,0.91,0.41897726
100% Corpus,6,asymmetric,symmetric,0.418810457
100% Corpus,8,asymmetric,0.91,0.418426987
100% Corpus,4,0.91,0.91,0.417371592
100% Corpus,10,asymmetric,0.91,0.417358099
100% Corpus,5,0.31,0.31,0.417017527
100% Corpus,6,asymmetric,0.61,0.415039682
100% Corpus,6,0.91,0.61,0.414258904
100% Corpus,7,asymmetric,0.61,0.412752149
100% Corpus,7,0.01,0.91,0.407284971
100% Corpus,3,0.91,0.91,0.406534832
100% Corpus,3,0.01,symmetric,0.406379585
100% Corpus,10,0.61,0.91,0.406259522
100% Corpus,10,0.01,0.01,0.405890228
100% Corpus,8,0.91,0.31,0.405761929
100% Corpus,4,symmetric,0.91,0.405121151
100% Corpus,10,symmetric,0.91,0.403639992
100% Corpus,10,symmetric,0.01,0.402959559
100% Corpus,6,symmetric,0.31,0.402297516
100% Corpus,6,symmetric,symmetric,0.401516649
100% Corpus,4,0.31,0.31,0.400867377
100% Corpus,7,0.31,symmetric,0.400500122
100% Corpus,3,0.31,symmetric,0.399238845
100% Corpus,3,asymmetric,symmetric,0.39841609
100% Corpus,10,asymmetric,0.01,0.398235949
100% Corpus,4,0.01,symmetric,0.397199794
100% Corpus,3,0.61,0.61,0.396661644
100% Corpus,3,0.01,0.31,0.395584167
100% Corpus,4,0.01,0.31,0.39443991
100% Corpus,4,0.61,0.61,0.393467414
100% Corpus,7,0.91,0.31,0.393318782
100% Corpus,3,asymmetric,0.31,0.39307889
100% Corpus,3,0.61,0.01,0.392285018
100% Corpus,4,0.31,symmetric,0.390987556
100% Corpus,6,0.61,0.31,0.390697543
100% Corpus,3,0.91,0.01,0.389932965
100% Corpus,9,asymmetric,0.91,0.389707495
100% Corpus,3,symmetric,0.31,0.388645104
100% Corpus,5,0.91,0.31,0.388480255
100% Corpus,6,0.91,0.01,0.388395941
100% Corpus,3,0.91,0.61,0.38808397
100% Corpus,6,asymmetric,0.01,0.387608683
100% Corpus,4,symmetric,symmetric,0.386501376
100% Corpus,4,symmetric,0.31,0.386484242
100% Corpus,4,0.01,0.61,0.386270554
100% Corpus,7,0.61,0.31,0.385145028
100% Corpus,8,0.31,0.01,0.384813096
100% Corpus,3,0.31,0.01,0.384297121
100% Corpus,6,0.31,0.01,0.384060442
100% Corpus,4,0.61,0.31,0.383297831
100% Corpus,9,0.91,0.31,0.382776449
100% Corpus,7,0.91,0.01,0.382560382
100% Corpus,3,symmetric,symmetric,0.382498171
100% Corpus,3,symmetric,0.01,0.381676566
100% Corpus,7,0.61,0.01,0.381481993
100% Corpus,5,0.31,symmetric,0.38080446
100% Corpus,3,0.61,symmetric,0.380580098
100% Corpus,9,0.31,0.01,0.379495982
100% Corpus,3,0.31,0.31,0.379033446
100% Corpus,4,symmetric,0.61,0.378985165
100% Corpus,8,0.01,0.91,0.378377534
100% Corpus,7,0.01,0.01,0.378175744
100% Corpus,3,0.61,0.31,0.377254965
100% Corpus,10,0.01,0.91,0.377233758
100% Corpus,10,asymmetric,0.61,0.376808831
100% Corpus,9,0.61,0.01,0.376087709
100% Corpus,6,0.61,0.01,0.375436883
100% Corpus,8,0.91,0.01,0.375311551
100% Corpus,3,asymmetric,0.01,0.37455995
100% Corpus,8,asymmetric,0.01,0.374456206
100% Corpus,2,asymmetric,0.91,0.374168497
100% Corpus,5,0.91,0.61,0.373757615
100% Corpus,5,0.91,0.01,0.373463992
100% Corpus,4,0.91,0.61,0.372986805
100% Corpus,4,0.01,0.91,0.372983531
100% Corpus,6,0.31,symmetric,0.372923214
100% Corpus,2,0.61,0.31,0.372815373
100% Corpus,8,0.61,0.01,0.372601966
100% Corpus,5,0.01,0.01,0.372010769
100% Corpus,2,symmetric,0.31,0.371820063
100% Corpus,4,0.91,0.01,0.371607338
100% Corpus,2,asymmetric,0.01,0.371316428
100% Corpus,9,asymmetric,0.61,0.371152816
100% Corpus,2,0.61,0.61,0.371036389
100% Corpus,2,0.91,0.61,0.371036389
100% Corpus,2,symmetric,0.61,0.371036389
100% Corpus,9,0.91,0.01,0.370916863
100% Corpus,8,0.01,0.01,0.370529889
100% Corpus,6,0.91,0.31,0.370408093
100% Corpus,2,0.31,0.61,0.370099538
100% Corpus,10,0.91,0.01,0.369910582
100% Corpus,5,0.61,0.31,0.368607151
100% Corpus,5,asymmetric,0.01,0.368224462
100% Corpus,4,0.61,0.01,0.368149225
100% Corpus,4,0.01,0.01,0.367602858
100% Corpus,2,0.61,0.01,0.367223984
100% Corpus,2,symmetric,0.01,0.367223984
100% Corpus,2,0.01,0.01,0.366321737
100% Corpus,4,0.31,0.01,0.365977876
100% Corpus,2,0.31,0.31,0.36541436
100% Corpus,2,0.31,symmetric,0.36541436
100% Corpus,2,0.91,0.01,0.365144877
100% Corpus,2,0.91,0.31,0.365144877
100% Corpus,9,0.01,0.01,0.364860994
100% Corpus,2,0.31,0.01,0.364823942
100% Corpus,2,0.61,symmetric,0.364519616
100% Corpus,2,0.91,symmetric,0.364519616
100% Corpus,5,0.61,symmetric,0.363476782
100% Corpus,5,0.91,symmetric,0.363433557
100% Corpus,5,symmetric,0.01,0.362979439
100% Corpus,2,asymmetric,0.31,0.362926424
100% Corpus,2,asymmetric,0.61,0.362926424
100% Corpus,2,asymmetric,symmetric,0.362926424
100% Corpus,3,0.01,0.01,0.362686116
100% Corpus,2,0.01,0.31,0.362108447
100% Corpus,2,0.01,symmetric,0.362108447
100% Corpus,5,0.31,0.01,0.361696656
100% Corpus,10,0.61,0.01,0.360435959
100% Corpus,2,0.31,0.91,0.360218498
100% Corpus,2,symmetric,symmetric,0.360098649
100% Corpus,4,symmetric,0.01,0.36001744
100% Corpus,6,0.61,symmetric,0.359920634
100% Corpus,9,symmetric,0.01,0.359187021
100% Corpus,8,symmetric,0.01,0.359031118
100% Corpus,9,asymmetric,0.01,0.358789548
100% Corpus,7,0.31,0.01,0.358631669
100% Corpus,4,0.61,symmetric,0.358603545
100% Corpus,2,0.91,0.91,0.358520828
100% Corpus,2,0.01,0.61,0.357933702
100% Corpus,2,0.61,0.91,0.357537196
